id,record_id,intro,name_biobank,inquiries,type_of_biobank,other_type,part_blood,other_process_blood,number,how_many,use_others,age_participants,when_collected,type_of_data,other_data_blood,date_and_time,ongoing,race,hispanic,preexisting,other_preexisting,upload_process,sample_size,other_sample_size,sample_temperature,other_sample_temperature,methods_obtain,methods_process,storage,upload_consent,comments,complete,future_use_consent,contact_patient_consent,dna_consent
1,1,,MFMU Network CMV Trial,coram@bsc.gwu.edu,"{""Blood (Maternal or Child)"",Urine,Other}",Infant Saliva,"{Serum,Plasma}","","101 - 5,000","5,001 - 20,000",All (>90%) specimens are available,"{""31 days-2 years"",""2-5 years"",""18-45 years""}","{""1st trimester"",""2nd trimester"",""3rd trimester"",Postpartum}","{Demographic,Clinical}","",2012 - 2021,No,"{""American Indian or Alaska Native"",Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White,Other}",Yes,{Other},Cytomegalovirus,CMV Sample collection and processing.pdf,1 milliliter,"",-60 to -80 degrees Celsius,"",,,,CMV Sample Consent Forms.pdf,"",Complete,,,
2,2,,Building Blocks Of Pregnancy,sburn@iu.edu,"{""Blood (Maternal or Child)"",""Cord blood"",Urine,""Placental tissue"",""DNA/Genomic data""}","","{""Whole blood"",Serum,Plasma}","","101 - 5,000","501 - 5,000",All (>90%) specimens are available,"{""5-18 years"",""18-45 years""}","{""1st trimester"",""2nd trimester"",""3rd trimester"",Postpartum}","{Demographic,Clinical}","",2009,Yes,"{""American Indian or Alaska Native"",Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White,Other}",Yes,"{""Healthy patients"",""Hypertensive (Pre/eclampsia, Gestational Hypertension...)"",""Endocrine (GDM, Maternal diabetes...)""}","","",1 milliliter,"",-60 to -80 degrees Celsius,"",,,,BBPB  ICF - v.10.7.2020.pdf,"",Complete,,,
3,3,,Ohio Perinatal Research Repository,christopher.bartlett@nationwidechildrens.org,"{""Blood (Maternal or Child)"",""Cord blood"",Urine,""Breast Milk"",""DNA/Genomic data"",Other}","Tracheal aspirate, Buccal",,"",5001+,"20,000+",All (>90%) specimens are available,"{""0-30 days"",""31 days-2 years"",""18-45 years"",""45+ years""}","{""1st trimester"",""2nd trimester"",""3rd trimester"",Postpartum}","{Demographic,Clinical}","",2019,Yes,"{""American Indian or Alaska Native"",Asian,""Black or African American"",White}",Yes,{Other},premature birth effects,"","","","","",,,,Infant_PRRFollowup_Consent_CLEAN (08.11.21).pdf,Survey completed by Chris Philip,Complete,,,
4,4,,MFMU Network GDM Follow-up Study,coram@bsc.gwu.edu,"{""Blood (Maternal or Child)""}","","{""Whole blood"",Serum,Plasma,Other}",Cell pellet,"101 - 5,000","5,001 - 20,000",All (>90%) specimens are available,"{""5-18 years"",""18-45 years""}","{""N/A / No obstetric samples collected""}","{Demographic,Clinical}","",2011 - 2013,No,"{Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White,Other}",Yes,"{""Endocrine (GDM, Maternal diabetes...)""}","",GDM Sample Collection Procedures.pdf,500 microliter,"",-60 to -80 degrees Celsius,"",,,,MFMUNetworkGDMFollowUpInformedConsentForm.pdf,"",Complete,,,
5,5,,BioVU - Vanderbilt University Medical Center,biovu@vumc.org,"{""Blood (Maternal or Child)"",""Placental tissue"",""DNA/Genomic data""}","","{""Whole blood"",Plasma}","",5001+,"20,000+","","{""0-30 days"",""31 days-2 years"",""2-5 years"",""5-18 years"",""18-45 years"",""45+ years""}","{""Before pregnancy"",""1st trimester"",""2nd trimester"",""3rd trimester"",Postpartum}","{Demographic,Clinical}","",2007,Yes,"{""American Indian or Alaska Native"",Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White,Other}","",{Other},VUMC's BioVU Biobanking Program is intended to advance the understanding of human health and disease and ultimately to improve public health.  Participant enrollment is not limited to a specific health condition or lack thereof.,"",500 microliter,"",-60 to -80 degrees Celsius,"",,,,"","https://victr.vumc.org/biovu-description/  BioVU encourages investigators to contact them directly for study consultation on a case-by-case basis. A VUMC or Vanderbilt University Principal Investigator is required for academic collaborations.     BioVU is Vanderbilt's biorepository of de-identified samples extracted from discarded blood collected during routine clinical testing and linked to de-identified medical records. Note, familial linkage is not feasible.",Complete,,,
6,6,,NIH NeuroBioBank,abigail.soyombo@nih.gov,{Other},Postmortem brains and other CNS tissues,,"",5001+,"5,001 - 20,000",All (>90%) specimens are available,"{""0-30 days"",""31 days-2 years"",""2-5 years"",""5-18 years"",""18-45 years"",""45+ years""}","{""N/A / No obstetric samples collected""}","{Clinical,Molecular/Analytes}","",< 2000,Yes,"{""American Indian or Alaska Native"",Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White}",Yes,{Other},"neurological, neurodevelopmental, and psychiatric disorders. Most are adult samples but the University of Maryland tissue collection site specializes in pediatric and control sample collection as well as neurodevelopmental disorders.","",N/A,"",N/A,"",,,,"",This is an NIH-funded resource supported by contracts to 6 tissue collection sites and a centralizing IT platform. Almost all of the brains have now been sequenced. Abigail Soyombo is the program officer at NIMH who coordinates this program.,Complete,,,
7,7,,Collaborative Pediatric Critical Care Research Network Biorepository,mouranip@archildrens.org,"{""Blood (Maternal or Child)"",Other}",tracheal aspirates,"{""Whole blood"",Plasma}","","101 - 5,000","501 - 5,000",Most (50-90%) specimens are available,"{""31 days-2 years"",""2-5 years"",""5-18 years""}","{""N/A / No obstetric samples collected""}","{Demographic,Clinical}","",2022,Yes,"{""American Indian or Alaska Native"",Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White,Other}",Yes,{Other},Sepsis induced multiple organ dysfunction,PRECISE_Protocol_v1.05_23May2022.pdf,Other,100uL,-60 to -80 degrees Celsius,"",,,,PRECISE Template_PPF_TeenAssent_2022-02-24_STAMPED.pdf,Target enrollment is 1100 subjects,Complete,,,
8,8,,Specimen Repository,cooper@fstrf.org,"{""Blood (Maternal or Child)""}","","{Plasma,Other}",PBMCs,5001+,"20,000+",All (>90%) specimens are available,"{""5-18 years"",""18-45 years"",""45+ years""}","{""2nd trimester"",""3rd trimester"",Postpartum}","{Demographic,Clinical}","",< 2000 - 2013,No,"{""American Indian or Alaska Native"",""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White,Other}",Yes,{Other},HIV infected or HIV exposed,"",500 microliter,"",-60 to -80 degrees Celsius,"",,,,"",www.specimenrepository.org,Complete,,,
9,9,,Project Placenta,digna.r.velez.edwards@vumc.org,"{""Placental tissue""}","",,"","101 - 5,000",0 - 500,All (>90%) specimens are available,"{""18-45 years""}",{Postpartum},"{Demographic,Clinical,Molecular/Analytes}","",2015,Yes,"{Asian,""Black or African American"",White,Other}",Yes,"{""Healthy patients"",""Hypertensive (Pre/eclampsia, Gestational Hypertension...)"",""Endocrine (GDM, Maternal diabetes...)"",Respiratory,Cardiovascular}","",Project Placenta.pdf,Other,2 mL,-60 to -80 degrees Celsius,"",,,,ICD_Clean2019 01 09.pdf,"Collection start date is approximate.  There is no particular ""condition"" focus.  The collection/processing method (summarized in the attached publication) and Consent document are for general reference and may not precisely represent the current process. There is a new PI and some procedures may change, as well as the Consent document. The new PI is Digna Velez Edwards, PhD, MS:  digna.r.velez.edwards@vumc.org",Complete,,,
10,10,,Precision Medicine in Pediatric Cardiology (PMPC) Biobank at VUMC,prince.kannankeril@vumc.org,"{""DNA/Genomic data""}","",,"","101 - 5,000","501 - 5,000",Most (50-90%) specimens are available,"{""0-30 days"",""31 days-2 years"",""2-5 years"",""5-18 years"",""18-45 years""}","{""N/A / No obstetric samples collected""}","{Demographic,Clinical}","",2007,Yes,"{""American Indian or Alaska Native"",Asian,""Black or African American"",""Native Hawaiian or Other Pacific Islander"",White,Other}",Yes,{Cardiovascular},"","","","","","",,,,"","Genomic DNA extracted from blood, saliva or buccal swab",Complete,,,
